book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
ECC,222,13.38,18.5,16.88,222,30.61,ethiopic_drafting_gmv,gmve,store,-12.11,lose
EST,167,13.29,17.4,15.93,167,29.16,ethiopic_drafting_gmv,gmve,store,-11.76,lose
EXO,1208,14.0,20.43,18.59,1208,34.74,ethiopic_drafting_gmv,gmve,store,-14.31,lose
EZK,1268,14.39,19.29,17.88,1268,32.27,ethiopic_drafting_gmv,gmve,store,-12.98,lose
EZR,271,11.44,15.99,15.29,271,26.41,ethiopic_drafting_gmv,gmve,store,-10.42,lose
GEN,1510,14.44,23.72,21.6,1510,42.19,ethiopic_drafting_gmv,gmve,store,-18.47,lose
HAB,56,11.43,15.71,14.14,56,25.18,ethiopic_drafting_gmv,gmve,store,-9.47,lose
HAG,38,15.05,20.77,18.67,38,34.85,ethiopic_drafting_gmv,gmve,store,-14.08,lose
HOS,197,12.93,19.81,18.64,197,31.39,ethiopic_drafting_gmv,gmve,store,-11.58,lose
ISA,1291,14.81,18.7,16.99,1291,32.83,ethiopic_drafting_gmv,gmve,store,-14.13,lose
JAS,105,10.78,25.41,20.96,104,33.8,ethiopic_drafting_gmv,gmve,store,-8.39,lose
JDG,617,13.33,21.32,19.28,617,38.08,ethiopic_drafting_gmv,gmve,store,-16.76,lose
JER,1363,14.3,19.76,17.84,1363,34.55,ethiopic_drafting_gmv,gmve,store,-14.79,lose
JOB,1066,11.61,17.3,15.48,1066,26.23,ethiopic_drafting_gmv,gmve,store,-8.93,lose
JOL,72,11.97,18.7,17.42,72,29.64,ethiopic_drafting_gmv,gmve,store,-10.94,lose
JON,48,14.66,23.05,21.99,48,39.05,ethiopic_drafting_gmv,gmve,store,-16.0,lose
JOS,656,13.06,18.98,17.47,656,32.54,ethiopic_drafting_gmv,gmve,store,-13.56,lose
LAM,154,11.56,17.73,15.69,154,29.75,ethiopic_drafting_gmv,gmve,store,-12.02,lose
LEV,854,11.97,17.19,16.59,854,26.75,ethiopic_drafting_gmv,gmve,store,-9.56,lose
MAL,55,13.94,21.99,18.98,55,34.83,ethiopic_drafting_gmv,gmve,store,-12.84,lose
MIC,105,11.65,16.92,16.7,105,27.5,ethiopic_drafting_gmv,gmve,store,-10.58,lose
MRK,673,10.9,34.52,30.75,669,39.93,ethiopic_drafting_gmv,gmve,store,-5.41,lose
NAM,47,11.83,14.79,14.51,47,26.44,ethiopic_drafting_gmv,gmve,store,-11.65,lose
NEH,399,11.52,15.37,14.85,399,26.45,ethiopic_drafting_gmv,gmve,store,-11.08,lose
NUM,1207,11.67,17.58,16.51,1207,26.87,ethiopic_drafting_gmv,gmve,store,-9.29,lose
OBA,21,11.89,16.24,13.89,21,25.64,ethiopic_drafting_gmv,gmve,store,-9.4,lose
PRO,914,14.72,19.13,17.56,914,33.98,ethiopic_drafting_gmv,gmve,store,-14.85,lose
PSA,2456,16.94,22.98,19.69,2456,37.79,ethiopic_drafting_gmv,gmve,store,-14.81,lose
RUT,85,13.69,19.98,18.18,85,36.01,ethiopic_drafting_gmv,gmve,store,-16.03,lose
SNG,117,13.73,17.0,15.62,117,33.85,ethiopic_drafting_gmv,gmve,store,-16.85,lose
ZEC,211,15.82,20.83,19.37,211,33.91,ethiopic_drafting_gmv,gmve,store,-13.08,lose
ZEP,53,14.2,17.95,16.83,53,31.05,ethiopic_drafting_gmv,gmve,store,-13.1,lose
1CH,938,14.24,17.53,14.42,938,35.99,ethiopic_drafting_gof,gofe,store,-18.46,lose
1KI,816,16.06,20.63,16.73,816,42.36,ethiopic_drafting_gof,gofe,store,-21.73,lose
1PE,103,12.09,45.16,28.09,103,34.97,ethiopic_drafting_gof,gofe,store,10.19,beat
1SA,810,12.67,19.44,16.28,810,34.99,ethiopic_drafting_gof,gofe,store,-15.55,lose
2CH,821,15.67,20.66,17.37,821,43.9,ethiopic_drafting_gof,gofe,store,-23.24,lose
2KI,719,12.56,17.91,15.62,719,32.42,ethiopic_drafting_gof,gofe,store,-14.51,lose
2PE,61,13.06,40.3,25.87,61,31.71,ethiopic_drafting_gof,gofe,store,8.59,beat
2SA,694,12.34,18.14,14.56,694,32.19,ethiopic_drafting_gof,gofe,store,-14.05,lose
AMO,146,13.69,18.39,15.97,146,32.96,ethiopic_drafting_gof,gofe,store,-14.57,lose
DAN,357,13.02,18.04,14.9,357,34.03,ethiopic_drafting_gof,gofe,store,-15.99,lose
DEU,957,13.22,19.77,16.58,957,33.92,ethiopic_drafting_gof,gofe,store,-14.15,lose
ECC,222,13.52,16.45,13.16,222,32.19,ethiopic_drafting_gof,gofe,store,-15.74,lose
EST,167,13.22,16.65,14.2,167,31.01,ethiopic_drafting_gof,gofe,store,-14.36,lose
EXO,1208,15.03,20.54,17.61,1208,39.06,ethiopic_drafting_gof,gofe,store,-18.52,lose
